Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
1,Carnegie Mellon University,Tai Sing Lee,,AI,http://www.cnbc.cmu.edu/~tai,,,,,"Computer vision,Machine learning",9TAiIIMAAAAJ
1,Carnegie Mellon University,David Garlan,,"AI,System",https://www.cs.cmu.edu/~garlan,,,,,"Artificial intelligence,Embedded & real-time systems ,High-performance computing,Programming languages,Software engineering",p6HgUFEAAAAJ
1,Carnegie Mellon University,David Held,,"AI,Interdisciplinary Areas ",http://davheld.github.io,,,,,"Computer vision,Machine learning,Robotics",0QtU-NsAAAAJ
1,Carnegie Mellon University,John Zimmerman,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~johnz,,,,,"The Web & information retrieval   ,Human-computer interaction",A-4JUL4AAAAJ
1,Carnegie Mellon University,Wenting Zheng,,"AI,Interdisciplinary Areas ,System",https://wzheng.github.io,,,,,"Machine learning, Computer graphics,Computer networks,Computer security,Operating systems",OeDgxpgAAAAJ
1,Carnegie Mellon University,Bogdan Vasilescu,,"AI,Interdisciplinary Areas ,System",http://bvasiles.github.io,,,,," Natural language processing,Human-computer interaction,Computer security,Software engineering",bcXjlqYAAAAJ
1,Carnegie Mellon University,Roger B. Dannenberg,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~rbd,,,,,"Artificial intelligence,Machine learning,Human-computer interaction",whacJzwAAAAJ
1,Carnegie Mellon University,David P. Woodruff,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~dwoodruf,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Economics & computation,Computer security,Databases,Algorithms & complexity,Cryptography",kMmxbbIAAAAJ
1,Carnegie Mellon University,Justine Cassell,,"AI,Interdisciplinary Areas ",https://www.hcii.cmu.edu/people/justine-cassell,,,,," Natural language processing,Artificial intelligence,Computer vision, Computer graphics,Human-computer interaction",wkC9xHMAAAAJ
1,Carnegie Mellon University,Robert F. Murphy,,"AI,Interdisciplinary Areas ",http://murphylab.web.cmu.edu,,,,,"Machine learning,Comp. bio & bioinformatics",qQLlBH4AAAAJ
1,Carnegie Mellon University,Jun-Yan Zhu,,"AI,Interdisciplinary Areas ",https://people.csail.mit.edu/junyanz,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",UdpacsMAAAAJ
1,Carnegie Mellon University,Robert E. Kraut,,"AI,Interdisciplinary Areas ",http://kraut.hciresearch.org,,,,," Natural language processing,The Web & information retrieval   ,Human-computer interaction",HKGYvu4AAAAJ
1,Carnegie Mellon University,Alan M. Frieze,,"AI,Interdisciplinary Areas ,Theory",https://www.math.cmu.edu/~af1p,,,,,"Machine learning,Comp. bio & bioinformatics,Algorithms & complexity",EqKRQ4YAAAAJ
