Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
1,Carnegie Mellon University,Eric Nyberg,,"AI,System",http://www.cs.cmu.edu/~ehn,,,,," Natural language processing,Artificial intelligence,Computer vision,The Web & information retrieval   ,Databases",G6XN5cRm0FIJ
1,Carnegie Mellon University,Radu Marculescu,,"AI,System",https://www.ece.cmu.edu/directory/department/faculty/M/Radu_Marculescu_109.html,,,,,"Computer vision,Machine learning,Design automation",ZCmYP5cAAAAJ
1,Carnegie Mellon University,Nicolas Christin,,"AI,Interdisciplinary Areas ,System",http://www.andrew.cmu.edu/user/nicolasc,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Human-computer interaction,Computer security,Measurement & perf. analysis ,Mobile computing,Operating systems",X5buTmMAAAAJ
1,Carnegie Mellon University,Jason I. Hong,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~jasonh,,,,,"Machine learning,The Web & information retrieval   ,Human-computer interaction,Computer security,Mobile computing",MoFbcc0AAAAJ
1,Carnegie Mellon University,Tom M. Mitchell,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~tom,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction,Robotics,Design automation",_ZVyA_gAAAAJ
1,Carnegie Mellon University,Ragunathan Rajkumar,,"AI,Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~raj,,,,,"Computer vision,Robotics,Design automation,Embedded & real-time systems ,High-performance computing,Mobile computing,Operating systems",6JU9KqgAAAAJ
1,Carnegie Mellon University,Laura A. Dabbish,,"Interdisciplinary Areas ,System",http://www.lauradabbish.com,,,,,"Human-computer interaction,Computer security,Software engineering",DdNAgNwAAAAJ
1,Carnegie Mellon University,Nathan Beckmann,,System,http://www.cs.cmu.edu/~beckmann,,,,,"Computer architecture,Computer networks,Design automation,Measurement & perf. analysis ,Operating systems",zkdjit0AAAAJ
1,Carnegie Mellon University,Todd C. Mowry,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~tcm,,,,,"Machine learning,Robotics,Computer architecture,Databases,Operating systems,Programming languages",MYsIXF4AAAAJ
1,Carnegie Mellon University,Jan Hoffmann 0002,,"System,Theory",http://www.cs.cmu.edu/~janh,,,,,"Computer security,Programming languages, Logic & verification",gdWrCjEAAAAJ
1,Carnegie Mellon University,Jamie Callan,,"AI,System",http://www.cs.cmu.edu/~callan,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Databases,Design automation",Un5KXJ4AAAAJ
1,Carnegie Mellon University,Chris Harrison 0001,,"Interdisciplinary Areas ,System",http://www.chrisharrison.net,,,,,"Human-computer interaction,High-performance computing",36HRdqMAAAAJ
1,Carnegie Mellon University,Christian KÃ¤stner,,"Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~ckaestne,,,,,"Human-computer interaction,Programming languages,Software engineering",PR-ZnJUAAAAJ
1,Carnegie Mellon University,Lei Li 0005,,"AI,Interdisciplinary Areas ,System",https://lileicc.github.io,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning,Robotics,Databases,High-performance computing",BYXqAlwAAAAJ
1,Carnegie Mellon University,James H. Morris,,"System,Theory",http://www.cs.cmu.edu/~jhm,,,,,"Programming languages,Algorithms & complexity",Y9cRdbIAAAAJ
1,Carnegie Mellon University,Andrew Begel,,"Interdisciplinary Areas ,System",https://s3d.cmu.edu/people/core-faculty/begel-andrew1.html,,,,,"Computer science education,Human-computer interaction,Computer networks,Software engineering",H_oWiFsAAAAJ
1,Carnegie Mellon University,James D. Herbsleb,,"AI,Interdisciplinary Areas ,System",http://herbsleb.org,,,,,"The Web & information retrieval   ,Human-computer interaction,Mobile computing,Programming languages,Software engineering",NOSCHOLARPAGE
1,Carnegie Mellon University,Tianqi Chen 0001,,"AI,System",https://tqchen.com,,,,,"Machine learning,Computer architecture,Operating systems",7nlvOMQAAAAJ
1,Carnegie Mellon University,Christopher G. Atkeson,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~cga,,,,,"Machine learning,Human-computer interaction,Robotics,Mobile computing",NOSCHOLARPAGE
