Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
1,Massachusetts Institute of Technology (MIT),Dina Katabi,,"AI,Interdisciplinary Areas ,System,Theory",http://people.csail.mit.edu/dina,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Human-computer interaction,Robotics,Computer networks,Computer security,Measurement & perf. analysis ,Mobile computing,Operating systems,Algorithms & complexity",nst5fHgAAAAJ
1,Massachusetts Institute of Technology (MIT),Charles E. Leiserson,,"AI,System,Theory",http://people.csail.mit.edu/cel,,,,,"Artificial intelligence,Computer architecture,Design automation,Measurement & perf. analysis ,Programming languages,Algorithms & complexity",gWBoNCsAAAAJ
1,Massachusetts Institute of Technology (MIT),Martin C. Rinard,,"AI,System,Theory",http://people.csail.mit.edu/rinard,,,,," Natural language processing,Machine learning,Computer architecture,Computer security,Databases,Design automation,Embedded & real-time systems ,High-performance computing,Operating systems,Programming languages,Software engineering, Logic & verification",hxlxVEUAAAAJ
1,Massachusetts Institute of Technology (MIT),Mohsen Ghaffari 0001,,"AI,Theory",http://people.csail.mit.edu/ghaffari,,,,,"Machine learning,Algorithms & complexity",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),Arvind,,"System,Theory",http://csg.csail.mit.edu/Users/arvind,,,,,"Computer architecture,Databases,Design automation,High-performance computing,Operating systems,Programming languages, Logic & verification",P0hz-8UAAAAJ
1,Massachusetts Institute of Technology (MIT),Piotr Indyk,,"AI,System,Theory",https://people.csail.mit.edu/indyk,,,,,"Computer vision,Machine learning,The Web & information retrieval   ,Computer networks,Databases,Mobile computing,Algorithms & complexity",oOwNKsAAAAAJ
1,Massachusetts Institute of Technology (MIT),Srini Devadas,,"AI,Interdisciplinary Areas ,System,Theory",https://people.csail.mit.edu/devadas,,,,,"Machine learning,Comp. bio & bioinformatics,Human-computer interaction,Robotics,Computer architecture,Computer networks,Computer security,Databases,Design automation,Embedded & real-time systems ,High-performance computing,Operating systems,Programming languages,Cryptography",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),William T. Freeman,,"AI,Interdisciplinary Areas ,Theory",https://billf.mit.edu,,,,,"Computer vision,Machine learning, Computer graphics,Human-computer interaction,Robotics,Algorithms & complexity",0zZnyMEAAAAJ
1,Massachusetts Institute of Technology (MIT),David R. Karger,,"AI,Interdisciplinary Areas ,System,Theory",http://people.csail.mit.edu/karger,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Human-computer interaction,Visualization,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems,Programming languages,Algorithms & complexity",2vQRGrYAAAAJ
1,Massachusetts Institute of Technology (MIT),Silvio Micali,,"System,Theory",https://people.csail.mit.edu/silvio,,,,,"Computer security,Operating systems,Algorithms & complexity,Cryptography",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),R. Ryan Williams,,"AI,System,Theory",http://web.stanford.edu/~rrwill,,,,,"Artificial intelligence,Databases, Logic & verification,Algorithms & complexity",Wp38QQYAAAAJ
1,Massachusetts Institute of Technology (MIT),Daniela Rus,,"AI,Interdisciplinary Areas ,System,Theory",https://www.csail.mit.edu/user/876,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Human-computer interaction,Robotics,Computer networks,Computer security,Mobile computing,Algorithms & complexity",910z20QAAAAJ
1,Massachusetts Institute of Technology (MIT),Daniel P. Huttenlocher,,"AI,Interdisciplinary Areas ,Theory",https://web.mit.edu/hutt/www,,,,,"Computer vision,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction,Algorithms & complexity",q16KVs0AAAAJ
1,Massachusetts Institute of Technology (MIT),Constantinos Daskalakis,,"AI,Interdisciplinary Areas ,Theory",http://people.csail.mit.edu/costis,,,,,"Artificial intelligence,Machine learning,Comp. bio & bioinformatics,Economics & computation,Algorithms & complexity",iTv2cOgAAAAJ
1,Massachusetts Institute of Technology (MIT),Michael Carbin,,"AI,System,Theory",http://people.csail.mit.edu/mcarbin,,,,,"Artificial intelligence,Computer vision,Machine learning,Computer architecture,Databases,Operating systems,Programming languages,Software engineering, Logic & verification",mtejbKYAAAAJ
1,Massachusetts Institute of Technology (MIT),Harold Abelson,,"AI,Theory",http://groups.csail.mit.edu/mac/users/hal/hal.html,,,,,"Artificial intelligence,Machine learning,Algorithms & complexity",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),Ankur Moitra,,"AI,Interdisciplinary Areas ,Theory",http://people.csail.mit.edu/moitra,,,,,"Machine learning,Comp. bio & bioinformatics,Algorithms & complexity",umFQktIAAAAJ
1,Massachusetts Institute of Technology (MIT),Armando Solar-Lezama,,"AI,Interdisciplinary Areas ,System,Theory",https://people.csail.mit.edu/asolar,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics,Computer architecture,Databases,High-performance computing,Operating systems,Programming languages,Software engineering, Logic & verification",8BX3BokAAAAJ
1,Massachusetts Institute of Technology (MIT),Virginia Vassilevska Williams,,"AI,Interdisciplinary Areas ,Theory",http://theory.stanford.edu/~virgi,,,,,"Artificial intelligence,Economics & computation,Algorithms & complexity,Cryptography",Wph6P_IAAAAJ
1,Massachusetts Institute of Technology (MIT),Vinod Vaikuntanathan,,"System,Theory",http://www.mit.edu/~vinodv,,,,,"Computer architecture,Computer networks,Computer security,Algorithms & complexity,Cryptography",a8jIPIkAAAAJ
1,Massachusetts Institute of Technology (MIT),Nir Shavit,,"AI,System,Theory",http://people.csail.mit.edu/shanir,,,,,"Artificial intelligence,Computer vision,Machine learning,Computer architecture,Embedded & real-time systems ,Operating systems,Algorithms & complexity",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),Patrick Jaillet,,"AI,Interdisciplinary Areas ,Theory",http://web.mit.edu/jaillet/www,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Algorithms & complexity",ND0FM6EAAAAJ
1,Massachusetts Institute of Technology (MIT),Samuel B. Hopkins,,"AI,Theory",https://www.samuelbhopkins.com,,,,,"Machine learning,Algorithms & complexity,Cryptography",E_a3VB4AAAAJ
1,Massachusetts Institute of Technology (MIT),Erik D. Demaine,,"AI,Interdisciplinary Areas ,System,Theory",http://erikdemaine.org,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Robotics,Measurement & perf. analysis ,Programming languages,Algorithms & complexity",6Ff2c8wAAAAJ
1,Massachusetts Institute of Technology (MIT),Nickolai Zeldovich,,"System,Theory",https://people.csail.mit.edu/nickolai,,,,,"Computer architecture,Computer networks,Computer security,Databases,Operating systems,Programming languages,Algorithms & complexity,Cryptography",DJ6--hMAAAAJ
1,Massachusetts Institute of Technology (MIT),Nancy A. Lynch,,"System,Theory",https://people.csail.mit.edu/lynch,,,,,"Databases,Embedded & real-time systems ,Measurement & perf. analysis ,Software engineering, Logic & verification,Algorithms & complexity",LPTkkxUAAAAJ
1,Massachusetts Institute of Technology (MIT),Bonnie Berger,,"AI,Interdisciplinary Areas ,System,Theory",https://people.csail.mit.edu/bab,,,,,"Computer vision,Machine learning,Comp. bio & bioinformatics,Computer security,Programming languages,Algorithms & complexity",qMOS01AAAAAJ
1,Massachusetts Institute of Technology (MIT),John V. Guttag,,"AI,Interdisciplinary Areas ,System,Theory",http://nms.csail.mit.edu/~guttag,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Human-computer interaction,Computer networks,Mobile computing,Operating systems,Programming languages,Software engineering, Logic & verification",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),Yury Polyanskiy,,"AI,Theory",http://www.mit.edu/~ypol,,,,,"Machine learning,Algorithms & complexity",NOSCHOLARPAGE
1,Massachusetts Institute of Technology (MIT),Ronald L. Rivest,,"AI,Interdisciplinary Areas ,System,Theory",http://people.csail.mit.edu/rivest,,,,,"Artificial intelligence,Machine learning,Human-computer interaction,Computer networks,Computer security,Design automation,Algorithms & complexity,Cryptography",6qE0tdAAAAAJ
1,Massachusetts Institute of Technology (MIT),Albert R. Meyer,,"System,Theory",http://people.csail.mit.edu/meyer,,,,,"Programming languages, Logic & verification,Algorithms & complexity",yRTPMIUAAAAJ
1,Massachusetts Institute of Technology (MIT),Devavrat Shah,,"AI,System,Theory",http://www.mit.edu/~devavrat,,,,,"Machine learning,Computer networks,Databases,Design automation,Measurement & perf. analysis ,Mobile computing,Algorithms & complexity",3qPiYJoAAAAJ
1,Massachusetts Institute of Technology (MIT),Julian Shun,,"AI,System,Theory",http://people.csail.mit.edu/jshun,,,,,"Machine learning,Computer architecture,Databases,High-performance computing,Programming languages,Algorithms & complexity",BGh9WU4AAAAJ
1,Massachusetts Institute of Technology (MIT),Ronitt Rubinfeld,,"AI,Interdisciplinary Areas ,System,Theory",http://people.csail.mit.edu/ronitt,,,,,"Machine learning,Robotics,Databases,Algorithms & complexity,Cryptography",pZhZndYAAAAJ
1,Massachusetts Institute of Technology (MIT),John N. Tsitsiklis,,"AI,System,Theory",http://www.mit.edu/~jnt/home.html,,,,,"Machine learning,High-performance computing,Measurement & perf. analysis ,Algorithms & complexity",bWTPrLEAAAAJ
1,Massachusetts Institute of Technology (MIT),Adam Chlipala,,"System,Theory",http://adam.chlipala.net,,,,,"Computer architecture,Computer security,Operating systems,Programming languages,Software engineering, Logic & verification",Imh0w3AAAAAJ
2,Carnegie Mellon University,Luis von Ahn,,"AI,Interdisciplinary Areas ,System,Theory",https://www.cs.cmu.edu/~biglou,,,,,"Machine learning,Human-computer interaction,Computer security,Operating systems,Algorithms & complexity,Cryptography",NOSCHOLARPAGE
2,Carnegie Mellon University,Anupam Datta,,"AI,System,Theory",http://www.andrew.cmu.edu/user/danupam,,,,," Natural language processing,Artificial intelligence,Machine learning,Computer security, Logic & verification,Algorithms & complexity",oK3QM1wAAAAJ
2,Carnegie Mellon University,Benjamin Moseley,,"AI,System,Theory",http://www.andrew.cmu.edu/user/moseleyb,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Databases,Embedded & real-time systems ,Measurement & perf. analysis ,Algorithms & complexity",qq-SXN8AAAAJ
2,Carnegie Mellon University,Randal E. Bryant,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~bryant,,,,,"Artificial intelligence,Computer science education,Computer architecture,Computer security,Design automation,Operating systems,Software engineering, Logic & verification",AFgYa68AAAAJ
2,Carnegie Mellon University,Manuel Blum 0001,,"Interdisciplinary Areas ,Theory",https://www.cs.cmu.edu/~mblum,,,,,"Human-computer interaction,Algorithms & complexity,Cryptography",7S-LSKoAAAAJ
2,Carnegie Mellon University,Lenore Blum,,Theory,http://www.cs.cmu.edu/~lblum,,,,,"Algorithms & complexity,Cryptography",NOSCHOLARPAGE
2,Carnegie Mellon University,Carl Kingsford,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~ckingsf,,,,,"Machine learning,Comp. bio & bioinformatics,Databases,Algorithms & complexity",V_cvqKcAAAAJ
2,Carnegie Mellon University,Jan Hoffmann 0002,,"System,Theory",http://www.cs.cmu.edu/~janh,,,,,"Computer security,Programming languages, Logic & verification",gdWrCjEAAAAJ
2,Carnegie Mellon University,Richard Peng,,"AI,System,Theory",https://www.cs.cmu.edu/~yangp,,,,,"Machine learning,The Web & information retrieval   ,Databases,Algorithms & complexity",loh7ivYAAAAJ
2,Carnegie Mellon University,Jason Li 0006,,Theory,https://q3r.github.io,,,,,Algorithms & complexity,NOSCHOLARPAGE
2,Carnegie Mellon University,Vincent Conitzer,,"AI,Interdisciplinary Areas ,System,Theory",https://users.cs.duke.edu/~conitzer,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Measurement & perf. analysis ,Algorithms & complexity",juRk4lQAAAAJ
2,Carnegie Mellon University,Robert Harper 0001,,"System,Theory",http://www.cs.cmu.edu/~rwh,,,,,"Programming languages, Logic & verification,Algorithms & complexity",hbpHGtQAAAAJ
2,Carnegie Mellon University,Vipul Goyal,,"System,Theory",https://www.cs.cmu.edu/~goyal,,,,,"Computer security,Algorithms & complexity,Cryptography",BYLsgysAAAAJ
2,Carnegie Mellon University,Bryan Parno,,"AI,System,Theory",https://www.cylab.cmu.edu/education/faculty/parno.html,,,,,"Machine learning,Computer architecture,Computer networks,Computer security,Operating systems,Programming languages,Cryptography",kTTBpJkAAAAJ
2,Carnegie Mellon University,Karl Crary,,"System,Theory",https://www.cs.cmu.edu/~crary,,,,,"Programming languages, Logic & verification",DTjqn9QAAAAJ
2,Carnegie Mellon University,Virgil D. Gligor,,"AI,System,Theory",https://users.ece.cmu.edu/~virgil,,,,,"The Web & information retrieval   ,Computer architecture,Computer security,Databases,Cryptography",NOSCHOLARPAGE
2,Carnegie Mellon University,Ryan O'Donnell,,Theory,http://www.cs.cmu.edu/~odonnell,,,,,Algorithms & complexity,Z8U0BwcAAAAJ
2,Carnegie Mellon University,James H. Morris,,"System,Theory",http://www.cs.cmu.edu/~jhm,,,,,"Programming languages,Algorithms & complexity",Y9cRdbIAAAAJ
2,Carnegie Mellon University,Maria-Florina Balcan,,"AI,Interdisciplinary Areas ,Theory",https://www.cs.cmu.edu/~ninamf,,,,,"Artificial intelligence,Machine learning,Economics & computation,Algorithms & complexity",LWlN_BUAAAAJ
