Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
14,Georgia Institute of Technology,Said I. Abdel-Khalik,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Greeshma Agasthya,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Cyrus K. Aidun,Professor,,,,,,,,
14,Georgia Institute of Technology,Alexander Alexeev,"Professor, Joseph Anderer Faculty Fellow",,,,,,,,
14,Georgia Institute of Technology,Antonia Antoniou,Professor,,,,,,,,
14,Georgia Institute of Technology,Costas D. Arvanitis,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Nazanin Bassiri-Gharb,"Harris Saunders, Jr. Chair and Professor",,,,,,,,
14,Georgia Institute of Technology,Steven Biegalski,NRE/MP Program Chair,,,,,,,,
14,Georgia Institute of Technology,Wayne J. Book,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Bert Bras,Associate Chair for Administration,,,,,,,,
14,Georgia Institute of Technology,George P. Burdell,Helluva Engineer,,,,,,,,
14,Georgia Institute of Technology,Ye-Hwa Chen,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Hailong Chen,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Tony G. Chen,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Seung-Kyum Choi,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Jonathan S. Colton,"Eugene C. Gwaltney Jr. Professorship in Manufacturing, Professor",,,,,,,,
14,Georgia Institute of Technology,Steven Danyluk,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Suman Das,"Morris M. Bryan, Jr. Chair and Professor",,,,,,,,
14,Georgia Institute of Technology,Nico F. Declercq,Professor,,,,,,,,
14,Georgia Institute of Technology,F. Levent Degertekin,George W. Woodruff Chair in Mechanical Systems and Professor,,,,,,,,
14,Georgia Institute of Technology,Chaitanya S. Deo,"Southern Nuclear Termed Professorship in NREMP, Professor",,,,,,,,
14,Georgia Institute of Technology,Jaydev Desai,Professor,,,,,,,,
14,Georgia Institute of Technology,Shaheen Dewji,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,J. Brandon Dixon,"Associate Chair for Undergraduate Studies, Woodruff Professor, Professor",,,,,,,,
14,Georgia Institute of Technology,Bachir El Fil,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Anna Erickson,Woodruff Professor,,,,,,,,
14,Georgia Institute of Technology,Alper Erturk,Carl Ring Family Chair,,,,,,,,
14,Georgia Institute of Technology,C. Ross Ethier,Adjunct Professor,,,,,,,,
14,Georgia Institute of Technology,Andrei G. Fedorov,Associate Chair for Graduate Studies,,,,,,,,
14,Georgia Institute of Technology,Aldo A. Ferri,Director of Assessment and Student Success and Professor,,,,,,,,
